asset,tipo,dimensao,destino,status,observacao
public/brand/studiosbook-logo-transparent.png,logo,1240x320,Google e Meta,APROVADO,"Marca sem dados pessoais"
public/brand/studiosbook-mark-transparent.png,simbolo,512x512,Perfil e ícone,APROVADO,"Marca sem dados pessoais"
public/brand/studiosbook-og.png,social,1200x630,Open Graph e anúncio,APROVADO,"Validar legibilidade do texto na plataforma"
public/brand/exports/studiosbook-youtube-banner.png,banner,2560x1440,YouTube,APROVADO,"Uso institucional"
public/brand/exports/studiosbook-youtube-profile.png,perfil,800x800,YouTube e Meta,APROVADO,"Uso institucional"
public/brand/exports/abertura-16x9.png,template,1920x1080,YouTube e vídeo,APROVADO,"Somente com conteúdo revisado"
public/brand/exports/capa-youtube-16x9.png,template,1280x720,YouTube,APROVADO,"Somente com conteúdo revisado"
public/brand/exports/capa-reels-9x16.png,template,1080x1920,Reels e Stories,APROVADO,"Somente com conteúdo revisado"
public/brand/exports/capitulo-16x9.png,template,1920x1080,YouTube,APROVADO,"Somente com conteúdo revisado"
public/brand/exports/dica-rapida-16x9.png,template,1920x1080,YouTube e Meta,APROVADO,"Somente com conteúdo revisado"
public/brand/exports/encerramento-16x9.png,template,1920x1080,YouTube e vídeo,APROVADO,"Somente com conteúdo revisado"
public/brand/video/studiosbook-lower-third.png,overlay,1920x1080,Vídeo,APROVADO,"Sem dados pessoais"
public/brand/video/studiosbook-watermark.png,overlay,720x168,Vídeo,APROVADO,"Sem dados pessoais"
public/brand/studiosbook-login-hero.jpg,foto,1600x1790,Landing page,APROVADO,"Imagem institucional já aplicada"
public/brand/campaigns/studiosbook-recebimentos-square.png,criativo,1080x1080,Google e Meta,APROVADO,"Plano Recebimentos com preço e condições"
public/brand/campaigns/studiosbook-recebimentos-feed.png,criativo,1080x1350,Meta Feed,APROVADO,"Plano Recebimentos com preço e condições"
public/brand/campaigns/studiosbook-recebimentos-story.png,criativo,1080x1920,Stories e Reels,APROVADO,"Plano Recebimentos com preço e condições"
C:/Users/sobri/Downloads/tutorial_instalacao_studiosbook_android_final.mp4,vídeo,1080x1920,Reels e tutorial,EM_ESPERA,"Revisão quadro a quadro de dados pessoais pendente"
C:/Users/sobri/Downloads/preview_studiosbook_android.mp4,vídeo,540x960,Reels e anúncio,EM_ESPERA,"Revisão quadro a quadro de dados pessoais pendente"
C:/Users/sobri/Downloads/Screen_Recording_20260713_220527_Chrome.mp4,vídeo,1080x2280,Tutorial,EM_ESPERA,"Pode expor dados de conta ou clientes"
C:/Users/sobri/Downloads/XRecorder_20260713_01.mp4,vídeo,720x1152,Tutorial,EM_ESPERA,"Pode expor dados de conta ou clientes"
C:/Users/sobri/Downloads/COMO INSTALAR STUDIOSBOOK PC 1/COMO INSTALAR STUDIOSBOOK PC 1.mp4,vídeo,3840x2160,Tutorial,EM_ESPERA,"Revisão quadro a quadro de dados pessoais pendente"
